,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
381,20,RL,80.0,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,2,2,CBlock,4,3,1,1,0.0,1,0.0,1090.0,1090.0,GasA,2,Y,SBrkr,1370,0,0,1370,0.0,0.0,2,0,3,1,2,6,7,1,3,Attchd,1976.0,2,2.0,479.0,3,3,2,0,0,0,0,0,0,0,3,None,0,6,2009,WD ,Family
834,60,RL,80.5,28698,Pave,None,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,None,0.0,2,2,PConc,3,4,4,2,249.0,5,764.0,0.0,1013.0,GasA,2,Y,SBrkr,1160,966,0,2126,0.0,1.0,2,1,3,1,2,7,5,0,0,Attchd,1967.0,3,2.0,538.0,3,3,2,486,0,0,0,225,0,0,0,None,0,6,2009,WD ,Abnorml
1898,90,RL,70.0,9842,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,SBrkr,1224,0,0,1224,0.0,0.0,2,0,2,2,2,6,7,0,0,CarPort,1962.0,1,2.0,462.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2007,WD ,Normal
678,90,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,None,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,Wall,1,N,FuseF,1040,0,0,1040,0.0,0.0,2,0,2,2,2,6,7,0,0,Detchd,1956.0,1,2.0,420.0,3,3,2,0,0,0,0,0,0,0,0,None,0,6,2009,WD ,Normal
700,190,RM,63.0,7627,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,1,2,BrkTil,2,1,1,1,0.0,1,0.0,600.0,600.0,GasA,3,N,SBrkr,1101,600,0,1701,0.0,0.0,2,0,4,2,1,8,7,0,0,None,0.0,0,0.0,0.0,0,0,0,0,0,148,0,0,0,0,0,None,0,10,2009,WD ,Normal
2073,60,RL,97.0,10029,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,3,2,PConc,4,3,1,6,831.0,1,0.0,320.0,1151.0,GasA,2,Y,SBrkr,1164,896,0,2060,0.0,1.0,2,1,4,1,2,8,7,1,3,Attchd,1988.0,1,2.0,521.0,3,3,2,0,228,0,0,192,0,0,0,None,0,9,2007,WD ,Normal
2443,60,RL,84.0,9660,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,3,2,PConc,4,3,1,6,791.0,1,0.0,253.0,1044.0,GasA,4,Y,SBrkr,1079,897,0,1976,1.0,0.0,2,1,3,1,3,7,7,1,5,Attchd,1998.0,3,3.0,885.0,3,3,2,210,31,0,0,0,0,0,0,None,0,2,2006,WD ,Normal
2583,20,RL,75.0,11310,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,1367.0,1367.0,GasA,4,Y,SBrkr,1375,0,0,1375,0.0,0.0,1,0,2,1,2,5,7,1,3,Attchd,1954.0,1,2.0,451.0,3,3,2,0,30,0,0,0,0,0,0,None,0,6,2006,WD ,Normal
1915,60,RL,73.0,18450,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,1965,1979,Flat,Tar&Grv,Plywood,Plywood,BrkCmn,113.0,2,3,CBlock,4,3,1,2,187.0,3,723.0,111.0,1021.0,GasA,2,Y,SBrkr,1465,915,0,2380,0.0,0.0,2,1,3,1,2,7,1,1,1,CarPort,1965.0,1,2.0,596.0,3,3,2,0,265,0,0,0,0,0,0,None,0,8,2007,WD ,Abnorml
879,20,RL,85.0,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,3,2,PConc,4,3,3,6,1478.0,1,0.0,100.0,1578.0,GasA,4,Y,SBrkr,1602,0,0,1602,1.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2007.0,2,3.0,810.0,3,3,2,0,48,0,0,195,0,0,0,None,0,1,2009,WD ,Normal
2303,20,RL,63.0,10712,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1991,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,PConc,4,3,2,4,212.0,1,0.0,762.0,974.0,GasA,2,Y,SBrkr,974,0,0,974,0.0,0.0,1,0,3,1,2,5,7,0,0,None,0.0,0,0.0,0.0,0,0,2,0,28,0,0,0,0,0,3,None,0,9,2007,Oth,Abnorml
2230,20,RL,70.0,18044,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,8,5,1986,1986,Gable,CompShg,WdShing,Plywood,None,0.0,3,2,CBlock,4,3,1,1,0.0,1,0.0,279.0,279.0,GasA,3,Y,SBrkr,2726,0,0,2726,0.0,0.0,2,1,2,1,3,6,7,1,4,Attchd,1986.0,3,2.0,691.0,4,4,2,216,64,169,0,0,228,4,0,None,0,8,2007,WD ,Normal
1747,80,RL,87.0,11084,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,192.0,1,0.0,192.0,384.0,GasA,4,Y,SBrkr,744,630,0,1374,1.0,0.0,2,1,3,1,3,8,7,1,4,BuiltIn,2004.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,None,0,6,2007,WD ,Family
542,20,RL,61.0,7328,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1450.0,1450.0,GasA,4,Y,SBrkr,1450,0,0,1450,0.0,0.0,2,0,2,1,3,6,7,0,0,Attchd,2008.0,2,3.0,788.0,3,3,2,0,93,0,0,0,0,0,0,None,0,2,2009,New,Partial
2702,30,RL,55.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,N,SBrkr,1032,0,0,1032,0.0,0.0,1,0,2,1,2,6,7,1,3,Detchd,1939.0,1,1.0,260.0,3,3,2,0,0,121,0,0,0,0,0,None,0,6,2006,WD ,Normal
